K.Thompkins,NE,WR,1,0,0,0,0,0,0,0,0,5,0,0,37
D.Amendola,NE,WR,1,0,0,0,0,0,0,0,0,3,0,0,16
R.Gronkowski,NE,TE,1,0,0,0,0,0,0,0,0,4,0,1,40
T.Wright,NE,TE,1,0,0,0,0,0,0,0,0,3,0,0,15
G.Smith,NYJ,QB,1,10,0,38,1,28,0,1,221,0,0,0,0
B.Powell,NYJ,RB,1,1,0,4,0,0,0,0,0,0,0,0,0
C.Ivory,NYJ,RB,1,10,1,102,0,0,0,0,0,0,0,0,0
J.Kerley,NYJ,WR,1,0,0,0,0,0,0,0,0,5,0,0,38
J.Cumberland,NYJ,TE,1,0,0,0,0,0,0,0,0,4,0,0,50
G.Salas,NYJ,WR,1,0,0,0,0,0,0,0,0,1,0,0,12
J.Amaro,NYJ,TE,1,0,0,0,0,0,0,0,0,2,0,0,7
E.Decker,NYJ,WR,1,0,0,0,0,0,0,0,0,5,0,0,74
S.Hakim,NYJ,WR,1,0,0,0,0,0,0,0,0,0,0,0,0
J.Saunders,NYJ,WR,1,0,0,0,0,0,0,0,0,0,0,0,0
D.Carr,OAK,QB,1,1,0,-1,0,32,0,2,151,0,0,0,0
D.McFadden,OAK,RB,1,4,0,15,0,0,0,0,0,1,0,0,6
M.Rivera,OAK,TE,1,0,0,0,0,0,0,0,0,3,0,0,31
D.Moore,OAK,WR,1,0,0,0,0,0,0,0,0,2,0,0,8
B.Leonhardt,OAK,TE,1,0,0,0,0,0,0,0,0,1,0,0,12
R.Streater,OAK,WR,1,0,0,0,0,0,0,0,0,5,0,1,46
L.Murray,OAK,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
N.Foles,PHI,QB,1,0,0,0,2,45,0,2,322,0,0,0,0
D.Sproles,PHI,RB,1,11,1,71,0,0,0,0,0,4,0,0,14
L.McCoy,PHI,RB,1,21,0,74,0,0,0,0,0,6,0,0,41
B.Celek,PHI,TE,1,0,0,0,0,0,0,0,0,3,0,0,15
J.Matthews,PHI,WR,1,0,0,0,0,0,0,0,0,2,0,0,37
J.Maclin,PHI,WR,1,0,0,0,0,0,0,0,0,4,0,1,97
Z.Ertz,PHI,TE,1,0,0,0,0,0,0,0,0,3,0,1,77
R.Cooper,PHI,WR,1,0,0,0,0,0,0,0,0,4,0,0,29
J.Maehl,PHI,WR,1,0,0,0,0,0,0,0,0,1,0,0,12
C.Henne,JAC,QB,1,1,0,8,1,43,0,2,266,0,0,0,0
D.Robinson,JAC,RB,1,3,0,8,0,0,0,0,0,1,0,0,3
T.Gerhart,JAC,RB,1,18,0,42,0,0,0,0,0,2,0,0,15
J.Todman,JAC,RB,1,3,0,6,0,0,0,0,0,1,0,0,5
A.Hurns,JAC,WR,1,0,0,0,0,0,0,0,0,4,0,2,110
M.Brown,JAC,WR,1,0,0,0,0,0,0,0,0,3,0,0,36
M.Lewis,JAC,TE,1,0,0,0,0,0,0,0,0,6,0,0,35
A.Robinson,JAC,WR,1,0,0,0,0,0,0,0,0,1,0,0,0
M.Lee,JAC,WR,1,0,0,0,0,0,0,0,0,6,0,0,62
B.Roethlisberger,PIT,QB,1,2,0,8,0,34,0,1,365,0,0,0,0
D.Archer,PIT,RB,1,1,0,4,0,0,0,0,0,0,0,0,0
L.Blount,PIT,RB,1,4,1,6,0,0,0,0,0,0,0,0,0
L.Bell,PIT,RB,1,21,1,109,0,0,0,0,0,6,0,0,88
M.Wheaton,PIT,WR,1,0,0,0,0,0,0,0,0,6,0,0,97
H.Miller,PIT,TE,1,0,0,0,0,0,0,0,0,3,0,0,26
J.Brown,PIT,WR,1,0,0,0,0,0,0,0,0,3,0,0,38
A.Brown,PIT,WR,1,0,0,0,0,0,0,0,0,5,0,1,116
B.Hoyer,CLE,QB,1,1,0,-2,0,31,0,1,230,0,0,0,0
T.West,CLE,RB,1,16,0,100,0,0,0,0,0,0,0,0,0
T.Benjamin,CLE,WR,1,1,0,10,0,0,0,0,0,2,0,1,20
R.Agnew,CLE,RB,1,1,0,2,0,0,0,0,0,0,0,0,0
I.Crowell,CLE,RB,1,5,2,32,0,0,0,0,0,0,0,0,0
J.Dray,CLE,TE,1,0,0,0,0,0,0,0,0,2,0,0,30
J.Cameron,CLE,TE,1,0,0,0,0,0,0,0,0,2,0,0,47
M.Austin,CLE,WR,1,0,0,0,0,0,0,0,0,2,0,0,20
G.Barnidge,CLE,TE,1,0,0,0,0,0,0,0,0,1,0,0,13
A.Hawkins,CLE,WR,1,0,0,0,0,0,0,0,0,8,0,0,87
T.Gabriel,CLE,WR,1,0,0,0,0,0,0,0,0,2,0,0,13
S.Hill,STL,QB,1,1,0,-1,0,13,0,0,81,0,0,0,0
A.Davis,STL,QB,1,1,0,0,0,23,0,0,192,0,0,0,0
C.Givens,STL,WR,1,1,0,4,0,0,0,0,0,2,0,0,30
T.Austin,STL,WR,1,3,0,5,0,0,0,0,0,3,0,0,34
B.Cunningham,STL,RB,1,5,0,21,0,0,0,0,0,4,0,0,30
Z.Stacy,STL,RB,1,11,0,43,0,0,0,0,0,1,0,0,8
B.Quick,STL,WR,1,0,0,0,0,0,0,0,0,7,0,0,99
L.Kendricks,STL,TE,1,0,0,0,0,0,0,0,0,2,0,0,12
C.Harkey,STL,TE,1,0,0,0,0,0,0,0,0,1,0,0,4
J.Cook,STL,TE,1,0,0,0,0,0,0,0,0,4,0,0,56
M.Cassel,MIN,QB,1,3,0,-2,0,25,0,2,170,0,0,0,0
A.Peterson,MIN,RB,1,21,0,75,0,0,0,0,0,2,0,0,18
M.Asiata,MIN,RB,1,2,0,10,0,0,0,0,0,1,0,0,5
C.Patterson,MIN,WR,1,3,1,102,0,0,0,0,0,3,0,0,26
J.McKinnon,MIN,RB,1,1,0,1,0,0,0,0,0,0,0,0,0
R.Ellison,MIN,TE,1,0,0,0,0,0,0,0,0,1,0,0,22
K.Rudolph,MIN,TE,1,0,0,0,0,0,0,0,0,2,0,1,16
J.Wright,MIN,WR,1,0,0,0,0,0,0,0,0,2,0,0,25
G.Jennings,MIN,WR,1,0,0,0,0,0,0,0,0,6,0,1,58
T.Romo,DAL,QB,1,0,0,0,0,37,0,1,281,0,0,0,0
